<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus Gold Com.ETF,20241225, 367000.00, 373155.00, 365929.00, 370755.00,2764437867784.00, 7456236,12460,D,372572.00,372221.00
Lotus Gold Com.ETF,20241224, 376000.00, 376000.00, 370980.00, 372572.00,4002139591156.00, 10741913,14421,D,369794.00,372151.00
Lotus Gold Com.ETF,20241223, 369900.00, 371156.00, 366550.00, 369794.00,4388987593623.00, 11868737,14434,D,358610.00,370600.00
Lotus Gold Com.ETF,20241222, 355000.00, 363005.00, 352997.00, 358610.00,4272205131181.00, 11913239,15918,D,362484.00,362100.00
Lotus Gold Com.ETF,20241221, 365010.00, 365300.00, 359950.00, 362484.00,5661886669431.00, 15619704,25036,D,371276.00,360802.00
Lotus Gold Com.ETF,20241218, 373990.00, 373990.00, 369671.00, 371276.00,5554736531634.00, 14961205,19022,D,373606.00,370000.00
Lotus Gold Com.ETF,20241217, 377000.00, 378500.00, 368500.00, 373606.00,6430852471858.00, 17212925,23533,D,370392.00,371650.00
Lotus Gold Com.ETF,20241216, 368749.00, 373000.00, 367001.00, 370392.00,5726087253684.00, 15459545,17163,D,366912.00,372799.00
Lotus Gold Com.ETF,20241215, 374000.00, 374000.00, 363563.00, 366913.00,4980906760371.00, 13575174,20443,D,367327.00,365199.00
Lotus Gold Com.ETF,20241214, 365000.00, 369999.00, 365000.00, 367327.00,8674152922199.00, 23614223,22312,D,363260.00,369110.00
Lotus Gold Com.ETF,20241211, 360200.00, 364297.00, 360200.00, 363260.00,6334872403249.00, 17438942,16018,D,354374.00,364289.00
Lotus Gold Com.ETF,20241210, 353595.00, 355480.00, 353000.00, 354374.00,3920178602037.00, 11062273,13582,D,350856.00,354680.00
Lotus Gold Com.ETF,20241209, 350510.00, 351890.00, 349500.00, 350856.00,3571621225374.00, 10179731,12356,D,349870.00,351889.00
